session,dialog_id,utterance_id,text,emotion
Session1,Ses01M_impro03,Ses01M_impro03_F014,"Dude, you lucked out.",happiness
Session1,Ses01M_impro03,Ses01M_impro03_F015,"Yeah.  My colors are blush and beige what is it, do you know?",happiness
Session1,Ses01M_impro03,Ses01M_impro03_F016,Oh I don't know. [LAUGHTER],happiness
Session1,Ses01M_impro03,Ses01M_impro03_F017,I don't know get it in cash.,neutral
Session1,Ses01M_impro03,Ses01M_impro03_F018,Yeah.,neutral
Session1,Ses01M_impro03,Ses01M_impro03_F019,How exciting. You should have a wedding on the beach.,happiness
Session1,Ses01M_impro03,Ses01M_impro03_F020,"Yeah, at night.",happiness
Session1,Ses01M_impro03,Ses01M_impro03_F021,"Oh yeah, absolutely, absolutely.",neutral
Session1,Ses01M_impro03,Ses01M_impro03_F022,How exciting.  You should make her bring all your friends too.,happiness
Session1,Ses01M_impro03,Ses01M_impro03_F023,[GARBAGE] She's got to be loaded.  fifty thousand dollars.  That's incredible.,happiness
Session1,Ses01M_impro03,Ses01M_impro03_F024,Incredible.,happiness
Session1,Ses01M_impro03,Ses01M_impro03_F025,"you're a lucky, lucky, lucky man.",happiness
Session1,Ses01M_impro03,Ses01M_impro03_F026,"Oh, totally. Yeah.",happiness
Session1,Ses01M_impro03,Ses01M_impro03_M000,The craziest thing just happened to me.,happiness
Session1,Ses01M_impro03,Ses01M_impro03_M001,This girl; she just offered me fifty thousand dollars to marry her.,happiness
Session1,Ses01M_impro03,Ses01M_impro03_M003,"Well, she's not a citizen so she wants to get a visa.",neutral
Session1,Ses01M_impro03,Ses01M_impro03_M004,"No, no, no, no, no, no she just... she's not a citizen but she wants her visa, yeah. She's going to pay me fifty thousand dollars to marry her and stay married to her for two years.",happiness
Session1,Ses01M_impro03,Ses01M_impro03_M005,That's like twenty five thousand dollar a year for doing nothing. Isn't that awesome?,happiness
Session1,Ses01M_impro03,Ses01M_impro03_M006,"She's actually from England, I think.  Well she- she spoke English but she had an accent. I didn't even ask.",neutral
Session1,Ses01M_impro03,Ses01M_impro03_M007,"Fifty thousand dollars. Fifty thousand dollars. I was just out... I just... she's - well, she's a friend of friend but like...",happiness
Session1,Ses01M_impro03,Ses01M_impro03_M008,"Yeah.  Can you believe that? Yeah, she's like hey, I'm like sure I'll do it, I don't care. Yeah. I'm like fifty thousand dollars, I'd totally do it for fifty thousand dollars. But the only thing is that's kind of like illegal. So like I could go to jail probably for a long if I get caught, but...",happiness
Session1,Ses01M_impro03,Ses01M_impro03_M010,It's like I'm really going to get married. We'll have like the whole thing.,happiness
Session1,Ses01M_impro03,Ses01M_impro03_M011,"Oh, good. [LAUGHTER]",happiness
Session1,Ses01M_impro03,Ses01M_impro03_M012,I know. What do you think I should-,happiness
Session1,Ses01M_impro03,Ses01M_impro03_M013,Oh good idea.,happiness
Session1,Ses01M_impro03,Ses01M_impro03_M014,Yeah.  Make her like open the bank account and stuff too.,neutral
Session1,Ses01M_impro03,Ses01M_impro03_M015,It's a good idea.,happiness
Session1,Ses01M_impro03,Ses01M_impro03_M016,I know.  Also I get to like plan the wedding now too. That will be fun.,happiness
Session1,Ses01M_impro03,Ses01M_impro03_M017,"Something blue, something new, something... no I don't know. [LAUGHTER] So yeah, wonder if she's going to pay me up front but do you think it's bad though, do you think they're going to like track the money or something?",happiness
Session1,Ses01M_impro03,Ses01M_impro03_M018,Just cash hardcore.,neutral
Session1,Ses01M_impro03,Ses01M_impro03_M019,What should we do?  Where should we get married? We should have party.,happiness
Session1,Ses01M_impro03,Ses01M_impro03_M020,"Yeah, like a big like- A wedding on the beach, that would be nice.",happiness
Session1,Ses01M_impro03,Ses01M_impro03_M021,And then we can honeymoon.  I want to go tropical though like Bahamas- --or like Tahiti or something. I just want to like beach and like drink.,neutral
Session1,Ses01M_impro03,Ses01M_impro03_M022,I'll make her pay for that.  I hear she's like totally wealthy. She's like royalty- --or something like and- --whatever like removed or something but yeah.,happiness
Session1,Ses01M_impro03,Ses01M_impro03_M023,I'm going to marry a blue blood. [LAUGHTER],happiness
Session1,Ses01M_impro03,Ses01M_impro03_M024,Will you help me plan?,happiness
Session1,Ses01M_impro07,Ses01M_impro07_F000,Yeah.,neutral
Session1,Ses01M_impro07,Ses01M_impro07_F001,[LAUGHTER]. For softball? That's unbelievable. Is it slow pitch?,happiness
Session1,Ses01M_impro07,Ses01M_impro07_F003,Pinch hitting softball.,happiness
Session1,Ses01M_impro07,Ses01M_impro07_F004,That is incredible.,happiness
Session1,Ses01M_impro07,Ses01M_impro07_F005,That's amazing. They pay for everything?,happiness
Session1,Ses01M_impro07,Ses01M_impro07_F006,"Your housing, books, everything? That is incredible.",happiness
Session1,Ses01M_impro07,Ses01M_impro07_F007,That is incredible. Do you get like a per diem?,happiness
Session1,Ses01M_impro07,Ses01M_impro07_F008,You should...You should look into that.,happiness
Session1,Ses01M_impro07,Ses01M_impro07_F009,"That is amazing, congratulations. Good for you.",happiness
Session1,Ses01M_impro07,Ses01M_impro07_F010,Oh.,neutral
Session1,Ses01M_impro07,Ses01M_impro07_F011,"Yeah, that you probably. You should see one of these Victorian houses around by.",happiness
Session1,Ses01M_impro07,Ses01M_impro07_F012,Oh. Venice beach.,neutral
Session1,Ses01M_impro07,Ses01M_impro07_F013,"Oh, you don't like that. You're west-sider?",happiness
Session1,Ses01M_impro07,Ses01M_impro07_F014,"Okay. That would be way too much of a commute you can't do that. Especially- I know especially from--I don't know, what I was going to say, I don't know.",happiness
Session1,Ses01M_impro07,Ses01M_impro07_F015,I don't know. Commuting from what Malibu that would be ridiculous.,happiness
Session1,Ses01M_impro07,Ses01M_impro07_F016,Oh yeah. He'd drop you right off at practice?,happiness
Session1,Ses01M_impro07,Ses01M_impro07_F018,They have those neon--softballs.  They're like day-glow you can see them anywhere.,happiness
Session1,Ses01M_impro07,Ses01M_impro07_F020,Oh. That is incredible. Is it--,neutral
Session1,Ses01M_impro07,Ses01M_impro07_F021,"do they have a--is it a co-ed softball team?  I mean... Really? You know, I didn't even know that they have that.",happiness
Session1,Ses01M_impro07,Ses01M_impro07_F022,Who do you play? Like do--are you like... nationally ranked?,happiness
Session1,Ses01M_impro07,Ses01M_impro07_F023,That is unbelievable.,happiness
Session1,Ses01M_impro07,Ses01M_impro07_F024,I would put that right up there with--ping-pong.,happiness
Session1,Ses01M_impro07,Ses01M_impro07_F025,I mean not to denigrate what you are doing.  I think that's great.,happiness
Session1,Ses01M_impro07,Ses01M_impro07_F026,"No, no.  I love softball. I played softball all the time.",happiness
Session1,Ses01M_impro07,Ses01M_impro07_F027,I am not saying you should be. I'm not no. I think it's great I think you should be incredibly proud yourself especially because you're going to U.S.C for free for doing it. For free.,happiness
Session1,Ses01M_impro07,Ses01M_impro07_F033,You're like the rookie? The new kid.,happiness
Session1,Ses01M_impro07,Ses01M_impro07_F034,Just watch in five years you'll be like on the force. You carry around donuts in your back pocket... [LAUGHTER],happiness
Session1,Ses01M_impro07,Ses01M_impro07_M000,Check this out.  You know how I've told you I've been really into like softball recently?,happiness
Session1,Ses01M_impro07,Ses01M_impro07_M001,"Well, this is totally random, I got this full ride scholarship to go to U.S.C next year to play softball.",happiness
Session1,Ses01M_impro07,Ses01M_impro07_M002,For softball.  They're going to pay me to go to school. Isn't that awesome?,happiness
Session1,Ses01M_impro07,Ses01M_impro07_M003,"Yeah.  Well, I don't--well yeah I can pitch, I'm not like the pitcher though. I'm like the pinch hitter guy I mostly just hit.  But I guess I'm going to have to... Yeah, and then I play shortstop too but... It's so ex- The good news is I get to stay here.",happiness
Session1,Ses01M_impro07,Ses01M_impro07_M004,"I know. For softball, yeah.",happiness
Session1,Ses01M_impro07,Ses01M_impro07_M005,"Yeah, everything. Every like- free ride and I get to, you know, like be on like a Trojans sports team too. And it's like cool. Isn't it awesome?",happiness
Session1,Ses01M_impro07,Ses01M_impro07_M006,"I don't know. I should ask. Yeah, I will.",happiness
Session1,Ses01M_impro07,Ses01M_impro07_M007,Thank you.,happiness
Session1,Ses01M_impro07,Ses01M_impro07_M008,But I don't know I want to live in the housing that they give me though 'cause I think I want to you know like get like a nicer place.,happiness
Session1,Ses01M_impro07,Ses01M_impro07_M009,Where should I move?,happiness
Session1,Ses01M_impro07,Ses01M_impro07_M010,"That's a really good idea. Or I could go to like Santa Monica. Go beach. Venice beach, yeah a little dirty though. I don't want to go to Venice beach. But - Malibu. All right.",happiness
Session1,Ses01M_impro07,Ses01M_impro07_M011,Professional softball player Malibu. [LAUGHTER],happiness
Session1,Ses01M_impro07,Ses01M_impro07_M013,"Oh yeah, that would be.  Well, depends on what type of car you had, though too. I guess it would be worth it. helicopter. Yeah, helicopter.  There is a helipad there, right? Yeah, exactly.",happiness
Session1,Ses01M_impro07,Ses01M_impro07_M017,They do it's--believe me it's huge.,happiness
Session1,Ses01M_impro07,Ses01M_impro07_M018,I just got into it. I just kind of fell into it. Literally I was walking around and...,happiness
Session1,Ses01M_impro07,Ses01M_impro07_M019,It's pretty wild.,happiness
Session1,Ses01M_impro07,Ses01M_impro07_M020,"Yeah, well I doubt [GARBAGE] ping pong [GARBAGE]",neutral
Session1,Ses01M_impro07,Ses01M_impro07_M024,For free that's really what it's about. I mean who cares I mean if I have to play softball all the time?,happiness
Session1,Ses01M_impro07,Ses01M_impro07_M026,Yeah we have like away games and stuff.,neutral
Session1,Ses01M_impro07,Ses01M_impro07_M030,But you know I'm like [GARBAGE].,neutral
Session1,Ses01M_impro07,Ses01M_impro07_M032,I'm going to have a mustache...On the force...,happiness
Session1,Ses01M_impro07,Ses01M_impro07_M033,Pull over..,happiness
Session1,Ses01M_impro06,Ses01M_impro06_F000,You okay?,neutral
Session1,Ses01M_impro06,Ses01M_impro06_F001,What's happened?,neutral
Session1,Ses01M_impro06,Ses01M_impro06_F002,You don't have to if you don't want to.,neutral
Session1,Ses01M_impro06,Ses01M_impro06_F003,I'm sorry to hear that.,sadness
Session1,Ses01M_impro06,Ses01M_impro06_F004,You've been taking care of it all?,sadness
Session1,Ses01M_impro06,Ses01M_impro06_F005,Oh Jesus.,sadness
Session1,Ses01M_impro06,Ses01M_impro06_F006,He sick for awhile?,sadness
Session1,Ses01M_impro06,Ses01M_impro06_F007,Was it an accident?,neutral
Session1,Ses01M_impro06,Ses01M_impro06_F008,how was sick?,neutral
Session1,Ses01M_impro06,Ses01M_impro06_F009,"Well, I'm confused.  He was sick or it was an accident?",neutral
Session1,Ses01M_impro06,Ses01M_impro06_F010,Oh. Really fast? Oh.,neutral
Session1,Ses01M_impro06,Ses01M_impro06_F011,Yeah.,neutral
Session1,Ses01M_impro06,Ses01M_impro06_F012,Yeah.,neutral
Session1,Ses01M_impro06,Ses01M_impro06_F013,"Totally, yeah.",neutral
Session1,Ses01M_impro06,Ses01M_impro06_F014,Mmhmm.,neutral
Session1,Ses01M_impro06,Ses01M_impro06_F015,Lock,neutral
Session1,Ses01M_impro06,Ses01M_impro06_F016,Mmhmm.,neutral
Session1,Ses01M_impro06,Ses01M_impro06_F017,The plans you make [GARBAGE].,neutral
Session1,Ses01M_impro06,Ses01M_impro06_F018,It leaves a hole for you too.,neutral
Session1,Ses01M_impro06,Ses01M_impro06_F019,"It leaves a hole for you too, in your plans together.",neutral
Session1,Ses01M_impro06,Ses01M_impro06_F020,It gets better.,neutral
Session1,Ses01M_impro06,Ses01M_impro06_F021,Mmhmm.,neutral
Session1,Ses01M_impro06,Ses01M_impro06_F022,MMhmm.,neutral
Session1,Ses01M_impro06,Ses01M_impro06_F023,Mmhmm.,neutral
Session1,Ses01M_impro06,Ses01M_impro06_F024,How long did you know each other?,neutral
Session1,Ses01M_impro06,Ses01M_impro06_F025,That's a long time.,neutral
Session1,Ses01M_impro06,Ses01M_impro06_F026,It's good that you were there.,neutral
Session1,Ses01M_impro06,Ses01M_impro06_F027,Yeah.,neutral
Session1,Ses01M_impro06,Ses01M_impro06_F028,Are there things you wish you'd done differently?,neutral
Session1,Ses01M_impro06,Ses01M_impro06_M000,"Yeah, I'm just-- yeah",sadness
Session1,Ses01M_impro06,Ses01M_impro06_M001,"Just kind of feel numb, you know.",sadness
Session1,Ses01M_impro06,Ses01M_impro06_M002,You didn't even hear?,sadness
Session1,Ses01M_impro06,Ses01M_impro06_M003,[BREATHING] Umm.,sadness
Session1,Ses01M_impro06,Ses01M_impro06_M004,God I've told this story so many times. Umm.,sadness
Session1,Ses01M_impro06,Ses01M_impro06_M005,I just...I just basically lost someone that was really close to me.,sadness
Session1,Ses01M_impro06,Ses01M_impro06_M006,"And I've kind of been dealing with all of the...the stuff, you know the hospital and people work because...",sadness
Session1,Ses01M_impro06,Ses01M_impro06_M007,"He kind of didn't have anyone to take care of that for him, so--",sadness
Session1,Ses01M_impro06,Ses01M_impro06_M008,It's just really...really messed up.,sadness
Session1,Ses01M_impro06,Ses01M_impro06_M009,No.,sadness
Session1,Ses01M_impro06,Ses01M_impro06_M010,Just like it.,sadness
Session1,Ses01M_impro06,Ses01M_impro06_M011,"No, I mean it just came on really quick, you know I mean it was a [GARBAGE] it was a sickness but it just --",sadness
Session1,Ses01M_impro06,Ses01M_impro06_M012,What?,sadness
Session1,Ses01M_impro06,Ses01M_impro06_M013,"He was sick. He got sick. He got sick but it happened really, really fast, you know.",sadness
Session1,Ses01M_impro06,Ses01M_impro06_M014,It was kind of like boom... done,sadness
Session1,Ses01M_impro06,Ses01M_impro06_M015,It's just really weird because he was really young you know and it kind of like...,sadness
Session1,Ses01M_impro06,Ses01M_impro06_M016,--it just kind of freaks you out.,sadness
Session1,Ses01M_impro06,Ses01M_impro06_M017,So weird you know that like one days it's like you know sounds so stupid but like one day someone's here. And like next day you know they're not here and it just kind of makes you like think about like life and mortality and like that kind of stuff.  You just like used to take for granted--you know.,sadness
Session1,Ses01M_impro06,Ses01M_impro06_M018,"Exactly, you know, and like he had so many plans and he was going to do...",sadness
Session1,Ses01M_impro06,Ses01M_impro06_M019,"so many things, you know?",sadness
Session1,Ses01M_impro06,Ses01M_impro06_M020,What?,sadness
Session1,Ses01M_impro06,Ses01M_impro06_M021,Yeah.,sadness
Session1,Ses01M_impro06,Ses01M_impro06_M022,"He was a really, really good guy.",sadness
Session1,Ses01M_impro06,Ses01M_impro06_M023,A lot of people loved him.,sadness
Session1,Ses01M_impro06,Ses01M_impro06_M024,"You know, it's like affecting a lot of people it's not just me, you know?",sadness
Session1,Ses01M_impro06,Ses01M_impro06_M025,Umm...,sadness
Session1,Ses01M_impro06,Ses01M_impro06_M026,For like eight years.,sadness
Session1,Ses01M_impro06,Ses01M_impro06_M027,Yeah.,sadness
Session1,Ses01M_impro06,Ses01M_impro06_M028,"Yeah, I'm glad I was there. Glad I- glad I got to be there.",sadness
Session1,Ses01M_impro06,Ses01M_impro06_M029,"So weird,",sadness
Session1,Ses01M_impro06,Ses01M_impro06_M030,"like I can't...it's like you know it's like ""pinch me"" it's like I can't believe like I'm dealing with this, you know.",sadness
Session1,Ses01M_impro04,Ses01M_impro04_F000,You seem kind of down.,neutral
Session1,Ses01M_impro04,Ses01M_impro04_F002,What do you mean?,neutral
Session1,Ses01M_impro04,Ses01M_impro04_F003,There's a lot of people looking for jobs.,neutral
Session1,Ses01M_impro04,Ses01M_impro04_F004,"I don't know, I mean, I just don't think...",neutral
Session1,Ses01M_impro04,Ses01M_impro04_F005,Did you ever think it might be your attitude that's...,neutral
Session1,Ses01M_impro04,Ses01M_impro04_F006,"I don't know just sometimes you get kind of... No, I'm not saying that.  I just--",neutral
Session1,Ses01M_impro04,Ses01M_impro04_F007,...has anyone ever just said anything like that to you before?,neutral
Session1,Ses01M_impro04,Ses01M_impro04_F008,"Right, sure.",neutral
Session1,Ses01M_impro04,Ses01M_impro04_F009,"But I mean you kind of got to, you got to fake it 'til you feel it, right?",neutral
Session1,Ses01M_impro04,Ses01M_impro04_F010,I'm just saying that if I was looking to hire somebody in the--or kind of... No. No. No.,neutral
Session1,Ses01M_impro04,Ses01M_impro04_F011,No.  I'm just saying though that if I was a person who was hiring somebody I-- --would not hire someone who was angry or upset.,neutral
Session1,Ses01M_impro04,Ses01M_impro04_F012,No.,neutral
Session1,Ses01M_impro04,Ses01M_impro04_F013,"Well, you know a little.  If you were to listen to--",neutral
Session1,Ses01M_impro04,Ses01M_impro04_F014,I just don't want you to fly off the handle.,neutral
Session1,Ses01M_impro04,Ses01M_impro04_F015,You kind of have a short fuse.,neutral
Session1,Ses01M_impro04,Ses01M_impro04_F016,Yeah.,neutral
Session1,Ses01M_impro04,Ses01M_impro04_F017,"Like this, right now we're trying have a conversation.",neutral
Session1,Ses01M_impro04,Ses01M_impro04_F018,We're trying to have a conversation and you seem extremely hostile. You keep cutting me off.,neutral
Session1,Ses01M_impro04,Ses01M_impro04_F019,I can't finish the sentence with you without you jumping in...,neutral
Session1,Ses01M_impro04,Ses01M_impro04_F020,...and you're always right.,neutral
Session1,Ses01M_impro04,Ses01M_impro04_F021,You have an excuse for everything.,neutral
Session1,Ses01M_impro04,Ses01M_impro04_F022,I'm just saying that maybe you should take in some information before you produce more of your own.,neutral
Session1,Ses01M_impro04,Ses01M_impro04_F023,[BREATHING],neutral
Session1,Ses01M_impro04,Ses01M_impro04_F024,That's -.,frustration
Session1,Ses01M_impro04,Ses01M_impro04_F025,"Well, what kind of field are you looking to go into?",neutral
Session1,Ses01M_impro04,Ses01M_impro04_M001,It's--I've been trying to find this job I can't get any job.,frustration
Session1,Ses01M_impro04,Ses01M_impro04_M002,It's not fair.,frustration
Session1,Ses01M_impro04,Ses01M_impro04_M003,"I mean I've been looking for a job for like three years and I can't get a job.  I mean like, it's America, right?  I should be able to get a job.",frustration
Session1,Ses01M_impro04,Ses01M_impro04_M004,"I guess.  But three years?  I mean, I like--I went to college even, I mean I didn't finish but I went for like a little bit.  It's not fair, I don't know.",frustration
Session1,Ses01M_impro04,Ses01M_impro04_M005,"I mean I've been sending out my resumes and doing everything I can do but nothing is happening.  You know, it's like I can't and I can't keep living on loans anymore like this.  I'm going to--I mean eventually I'm going to have to pay it back. I'm just kind of freaking out, I don't know.",frustration
Session1,Ses01M_impro04,Ses01M_impro04_M008,"No, well maybe it's because I'm like frustrated 'cause I can't get a job, you know.",frustration
Session1,Ses01M_impro04,Ses01M_impro04_M009,"Like it's really hard to like shake that off when you go into like audition a room or whatever, you know what I mean?",frustration
Session1,Ses01M_impro04,Ses01M_impro04_M010,"I guess I just getting really hard to fake, you know.",frustration
Session1,Ses01M_impro04,Ses01M_impro04_M011,"Are you hiring? Wait, do you know of a job? Seriously, do you know, like do you know of anything though?  Like, oh please, do you know of anything?",frustration
Session1,Ses01M_impro04,Ses01M_impro04_M012,Yeah.,frustration
Session1,Ses01M_impro04,Ses01M_impro04_M013,I come across angry?,frustration
Session1,Ses01M_impro04,Ses01M_impro04_M014,What?,anger
Session1,Ses01M_impro04,Ses01M_impro04_M015,"Okay.  You're my friend you can tell me stuff.  You can tell me honestly stuff, okay?  Please.",frustration
Session1,Ses01M_impro04,Ses01M_impro04_M016,"Okay, I'm not flying off the handle I don't think I'm flying off the handle here at all.",frustration
Session1,Ses01M_impro04,Ses01M_impro04_M017,I have a short fuse?,frustration
